City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
208,Cabatuan,PH,76.66,moderate rain,10.8794,122.486,MVC Transient Room
210,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
215,Manokwari,ID,81.57,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
216,Lincoln,US,87.35,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
220,Puerto Colombia,CO,80.69,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
221,Plover,US,78.03,clear sky,44.4564,-89.544,Hampton Inn Plover-Stevens Point
224,Moose Factory,CA,78.8,overcast clouds,51.2585,-80.6094,Cree Village Eco Lodge
226,Kirakira,SB,83.73,scattered clouds,-10.4544,161.9205,SanBiz Lodge
228,Tevaitoa,PF,76.68,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
230,Hithadhoo,MV,80.69,heavy intensity rain,-0.6,73.0833,Scoop Guest House
232,Puerto Morazan,NI,81.48,overcast clouds,12.8504,-87.1717,Iglesia de Dios de la profecia
233,Broome,US,75.58,few clouds,42.2506,-75.833,Chenango Valley State Park
235,Hami,CN,85.26,overcast clouds,42.8,93.45,Laoyutang Resort
238,Teknaf,BD,80.64,overcast clouds,20.8624,92.3058,Forestry Guesthouse
241,Nador,MA,77.25,few clouds,35.174,-2.9287,Hôtel La Giralda
243,Korla,CN,77.13,clear sky,41.7597,86.1469,Gulisitan Hotel
249,Vanimo,PG,83.86,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
256,Qinzhou,CN,87.55,overcast clouds,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
257,Gumdag,TM,78.44,clear sky,39.2061,54.5906,
258,Rawalpindi,PK,82.24,clear sky,33.6007,73.0679,Hotel Akbar International
260,Road Town,VG,82.49,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
261,Alyangula,AU,76.64,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
264,Gorontalo,ID,75.09,light rain,0.5412,123.0595,Maqna Hotel by Prasanthi
270,Sur,OM,80.38,heavy intensity rain,22.5667,59.5289,Sur Plaza Hotel
271,Kavieng,PG,84.88,light rain,-2.5744,150.7967,Nusa Island Retreat
274,Yashkul,RU,77.88,clear sky,46.1711,45.3435,"Gostinitsa ""Putnik"""
275,Kieta,PG,85.8,few clouds,-6.2167,155.6333,Uruna Bay Retreat
278,Bandarbeyla,SO,79.0,overcast clouds,9.4942,50.8122,JABIR HOTEL
280,Jacksonville,US,77.25,thunderstorm,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
283,Katra,IN,75.0,few clouds,32.9833,74.95,KC Residency Katra (4 Star) Experience the Luxuries of a 5 Star
284,Labuhan,ID,77.67,broken clouds,-6.8844,112.2051,DoubleFAG
288,Alappuzha,IN,75.99,light rain,9.49,76.3264,Panoramic Sea Resort
297,Eunice,US,88.0,broken clouds,30.4944,-92.4176,"Holiday Inn Express Eunice, an IHG Hotel"
298,Kandrian,PG,84.97,scattered clouds,-6.2167,149.55,Kandrian Station
299,Buala,SB,85.08,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
305,Carlisle,US,75.24,moderate rain,40.2015,-77.1889,Fairfield Inn & Suites by Marriott Carlisle
312,Saint George,US,78.87,overcast clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
315,Casa Nova,BR,76.95,broken clouds,-9.4167,-41.1333,LÔRO BEACH. DUNAS
316,Borogontsy,RU,87.13,few clouds,62.6683,131.1683,
317,Alofi,NU,78.69,scattered clouds,-19.0595,-169.9187,Taloa Heights
319,Oriximina,BR,78.93,scattered clouds,-1.7656,-55.8661,Pousada Tia Amélia
326,Kudahuvadhoo,MV,77.18,moderate rain,2.6708,72.8944,Niyama Private Islands Maldives
330,Shingu,JP,87.33,overcast clouds,33.7333,135.9833,Shingu UI Hotel
334,Tecoanapa,MX,81.01,overcast clouds,16.5167,-98.75,Hotel Manglares
338,Bilma,NE,86.56,clear sky,18.6853,12.9164,Expeditions Ténére voyages
340,Dingle,PH,76.05,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
341,Cabo Rojo,PR,82.98,broken clouds,18.0866,-67.1457,Hotel Perichi's
342,Prince George,CA,76.24,clear sky,53.9166,-122.753,Canadas Best Value Inn Prince George
343,Manaure,CO,81.48,scattered clouds,11.7751,-72.4445,Hotel Palaaima
344,Komsomolskiy,UZ,79.52,clear sky,40.4272,71.7189,Ikathouse
346,Sungaipenuh,ID,76.12,few clouds,-2.0833,101.3833,Penginapan Citra Alam
348,Invermere,CA,82.51,clear sky,50.5167,-116.0354,Copper Point Resort
350,Haicheng,CN,77.0,clear sky,40.8516,122.7475,Haicheng Grand Hotel
353,Khash,IR,77.58,broken clouds,28.2211,61.2158,خوابگاه آبجی محدثه
354,Praya,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
357,Goderich,CA,77.32,overcast clouds,43.7501,-81.7165,Harmony Inn
361,Kavaratti,IN,82.04,overcast clouds,10.5669,72.642,Green leaf
362,Olinda,BR,76.73,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
365,Kununurra,AU,76.98,broken clouds,-15.7667,128.7333,Hotel Kununurra
366,Fort Nelson,CA,76.59,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
368,Amalapuram,IN,77.43,moderate rain,16.5833,82.0167,swayamprabha service apartments
369,Tomatlan,MX,77.34,overcast clouds,19.9333,-105.25,El Salvial
370,Eyl,SO,77.56,broken clouds,7.9803,49.8164,Amiin Hotel
373,Mao,ES,75.76,clear sky,39.8885,4.2658,ARTIEM Capri
374,Obra,IN,85.73,few clouds,24.4167,82.9833,Harsh
377,Banda Aceh,ID,83.21,clear sky,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
379,La Romana,DO,80.96,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
380,Nakamura,JP,86.74,overcast clouds,32.9833,132.9333,Hotel Crown Hills Nakamura
381,Emba,KZ,80.02,scattered clouds,48.8264,58.1442,
386,Nakhon Thai,TH,84.38,broken clouds,17.1006,100.8374,อี๊ฟกะแอมป์รีสอร์ท EVEKAAMP Resort
389,Waingapu,ID,82.15,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
390,Cozumel,MX,84.27,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
391,Methoni,GR,85.86,clear sky,36.8197,21.7049,Methoni Beach Hotel
392,Kloulklubed,PW,82.9,broken clouds,7.0419,134.2556,Storyboard Beach Resort
394,Southbridge,US,75.31,overcast clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
395,Metro,ID,80.92,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
397,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
400,Uribia,CO,81.63,few clouds,11.7139,-72.266,Hotel Uribia
403,Aksu,CN,81.21,clear sky,41.1231,80.2644,Pudong Holiday Hotel
404,Santomera,ES,78.78,clear sky,38.0615,-1.0488,Apartamentos Turísticos Shoal
411,Paka,MY,82.33,few clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
