City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Iqaluit,CA,2022-07-17 22:50:09,63.7506,-68.5145,42.53,93,75,9.22
68,Xuddur,SO,2022-07-17 22:50:09,4.1213,43.8894,70.38,70,18,20.4
69,Suluktu,KG,2022-07-17 22:50:10,39.9337,69.57,67.48,22,0,6.15
70,Ornskoldsvik,SE,2022-07-17 22:50:10,63.2909,18.7153,54.55,82,100,6.91
71,Itupiranga,BR,2022-07-17 22:50:11,-5.1347,-49.3267,79.12,53,9,2.3
72,Cape Town,ZA,2022-07-17 22:50:11,-33.9258,18.4232,60.89,87,75,9.22
73,Vardo,NO,2022-07-17 22:50:12,70.3705,31.1107,51.78,93,75,5.75
74,Kurumkan,RU,2022-07-17 22:50:12,54.3,110.3,62.33,56,5,0.78
75,Pangai,TO,2022-07-18 00:08:52,-19.8,-174.35,77.41,78,65,21.7
76,Lebu,CL,2022-07-18 00:08:53,-37.6167,-73.65,46.58,74,45,9.98
77,Puerto Ayora,EC,2022-07-18 00:06:14,-0.7393,-90.3518,68.56,92,67,5.01
78,Narsaq,GL,2022-07-18 00:08:53,60.9167,-46.05,50.22,81,69,2.89
79,Caucaia,BR,2022-07-18 00:08:54,-3.7361,-38.6531,80.55,76,75,19.57
80,Butaritari,KI,2022-07-18 00:08:55,3.0707,172.7902,82.17,74,58,12.03
81,Isangel,VU,2022-07-18 00:08:55,-19.55,169.2667,78.06,81,74,15.82
82,Klaksvik,FO,2022-07-18 00:08:55,62.2266,-6.589,50.92,88,94,20.29
83,Stara Zagora,BG,2022-07-18 00:05:02,42.4328,25.6419,66.92,31,1,4.41
84,New Norfolk,AU,2022-07-18 00:08:56,-42.7826,147.0587,40.71,77,88,3.0
85,Baie-Comeau,CA,2022-07-18 00:08:08,49.2168,-68.1489,64.44,73,90,8.63
86,Yellowknife,CA,2022-07-18 00:08:57,62.456,-114.3525,67.21,57,100,11.92
87,Vila Franca Do Campo,PT,2022-07-18 00:09:58,37.7167,-25.4333,74.19,84,50,5.55
88,Batticaloa,LK,2022-07-18 00:09:58,7.7102,81.6924,80.24,80,100,4.61
89,Torbay,CA,2022-07-18 00:09:59,47.6666,-52.7314,64.89,76,100,12.39
90,Baykit,RU,2022-07-18 00:09:59,61.67,96.37,58.3,88,33,3.29
91,Saint Anthony,US,2022-07-18 00:10:00,45.0205,-93.218,89.82,61,100,11.5
92,Airai,TL,2022-07-18 00:07:44,-8.9266,125.4092,61.0,70,38,3.15
93,Hovd,MN,2022-07-18 00:10:00,48.0056,91.6419,66.79,40,9,8.48
94,Seddon,AU,2022-07-18 00:10:01,-37.8068,144.8916,49.68,83,75,11.5
95,Longyearbyen,SJ,2022-07-18 00:10:01,78.2186,15.6401,60.64,67,75,18.41
96,Chivay,PE,2022-07-18 00:10:02,-15.6383,-71.6011,47.01,38,48,6.11
97,Hithadhoo,MV,2022-07-18 00:10:02,-0.6,73.0833,79.81,75,100,19.06
98,East London,ZA,2022-07-18 00:10:03,-33.0153,27.9116,66.9,32,0,7.61
99,Vilyuysk,RU,2022-07-18 00:10:03,63.7553,121.6247,68.83,89,96,7.14
100,Arica,CL,2022-07-18 00:10:03,-18.475,-70.3042,59.23,77,100,5.75
101,Mahebourg,MU,2022-07-18 00:10:04,-20.4081,57.7,69.26,68,81,18.12
102,Mount Isa,AU,2022-07-18 00:10:04,-20.7333,139.5,67.77,40,1,0.0
103,Fortuna,US,2022-07-18 00:10:05,40.5982,-124.1573,68.94,68,4,4.0
104,Port Elizabeth,ZA,2022-07-18 00:07:36,-33.918,25.5701,66.31,76,3,8.99
105,Gurupa,BR,2022-07-18 00:10:05,-1.405,-51.64,75.92,83,34,2.98
106,Casma,CL,2022-07-18 00:10:06,-41.0082,-73.1244,38.8,97,63,3.6
107,Tasiilaq,GL,2022-07-18 00:10:06,65.6145,-37.6368,39.36,79,63,4.9
108,Faya,SA,2022-07-18 00:10:07,18.3851,42.4509,66.72,37,62,5.46
109,Mufumbwe,ZM,2022-07-18 00:10:07,-13.6833,24.8,48.02,60,4,5.88
110,Tolaga Bay,NZ,2022-07-18 00:10:08,-38.3667,178.3,57.92,57,45,4.97
111,Saint-Pierre,RE,2022-07-18 00:10:08,-21.3393,55.4781,69.91,60,0,19.57
112,Okha,RU,2022-07-18 00:10:09,53.5739,142.9478,55.02,89,100,15.95
113,Georgetown,MY,2022-07-18 00:05:13,5.4112,100.3354,82.89,89,20,2.3
114,Atuona,PF,2022-07-18 00:05:15,-9.8,-139.0333,78.19,76,14,19.53
115,Ancud,CL,2022-07-18 00:10:10,-41.8697,-73.8203,41.23,75,37,8.61
116,Panaba,MX,2022-07-18 00:10:10,21.2833,-88.2667,85.35,62,65,14.32
117,Hobart,AU,2022-07-18 00:10:10,-42.8794,147.3294,41.05,75,40,14.97
118,Carnarvon,AU,2022-07-18 00:10:11,-24.8667,113.6333,57.27,100,40,4.61
119,Saint-Philippe,RE,2022-07-18 00:10:11,-21.3585,55.7679,69.39,79,52,12.12
120,Half Moon Bay,US,2022-07-18 00:10:12,37.4636,-122.4286,88.88,74,0,18.41
121,Solnechnyy,RU,2022-07-18 00:10:12,50.7214,136.6319,64.33,68,100,6.15
122,Pisco,PE,2022-07-18 00:10:13,-13.7,-76.2167,61.02,82,2,14.97
123,Halifax,CA,2022-07-18 00:08:28,44.6453,-63.5724,61.21,83,46,7.4
124,Mar Del Plata,AR,2022-07-18 00:10:14,-38.0023,-57.5575,55.09,49,0,11.5
125,Stornoway,GB,2022-07-18 00:10:14,58.2093,-6.3865,55.92,93,20,0.0
126,Vila Velha,BR,2022-07-18 00:08:06,-20.3297,-40.2925,73.35,87,0,11.99
127,Hasaki,JP,2022-07-18 00:10:15,35.7333,140.8333,82.29,82,99,4.65
128,Alta Gracia,AR,2022-07-18 00:10:15,-31.6529,-64.4283,53.31,36,29,8.37
129,Provideniya,RU,2022-07-18 00:10:16,64.3833,-173.3,48.31,61,20,29.08
130,Andenes,NO,2022-07-18 00:10:16,69.3143,16.1194,48.18,87,100,3.44
131,Sistranda,NO,2022-07-18 00:10:17,63.7256,8.834,53.56,81,92,20.2
132,Vao,NC,2022-07-18 00:10:18,-22.6667,167.4833,71.83,75,81,18.32
133,Pergamino,AR,2022-07-18 00:05:50,-33.89,-60.5736,45.91,65,81,4.0
134,Kaeo,NZ,2022-07-18 00:06:39,-35.1,173.7833,57.83,74,100,9.33
135,Sao Filipe,CV,2022-07-18 00:11:18,14.8961,-24.4956,74.53,80,25,13.87
136,Busselton,AU,2022-07-18 00:10:34,-33.65,115.3333,54.39,89,92,14.83
137,Hami,CN,2022-07-18 00:11:19,42.8,93.45,82.2,21,33,4.68
138,Axim,GH,2022-07-18 00:11:19,4.8699,-2.2405,74.55,80,59,8.95
139,Cabo San Lucas,MX,2022-07-18 00:10:37,22.8909,-109.9124,92.61,61,29,7.9
140,Labuhan,ID,2022-07-18 00:11:20,-6.8844,112.2051,76.41,84,93,7.47
141,Henties Bay,NA,2022-07-18 00:11:21,-22.116,14.2845,62.64,60,24,3.56
142,Aljezur,PT,2022-07-18 00:11:21,37.3191,-8.8033,64.89,91,2,4.63
143,San Patricio,US,2022-07-18 00:11:22,28.017,-97.5169,90.54,53,84,16.37
144,Aswan,EG,2022-07-18 00:11:22,24.0934,32.907,85.26,22,91,9.75
145,Qaanaaq,GL,2022-07-18 00:10:32,77.484,-69.3632,46.09,63,97,3.09
146,Saskylakh,RU,2022-07-18 00:11:23,71.9167,114.0833,52.27,44,98,10.87
147,Anshun,CN,2022-07-18 00:11:23,26.25,105.9333,69.48,94,100,0.87
148,Juneau,US,2022-07-18 00:11:24,58.3019,-134.4197,57.22,96,100,21.85
149,Kiruna,SE,2022-07-18 00:11:24,67.8557,20.2251,43.72,93,100,4.61
150,Fort Pierce,US,2022-07-18 00:11:25,27.4467,-80.3256,80.08,87,0,1.99
151,Sokoni,TZ,2022-07-18 00:11:25,-6.4333,39.55,75.56,79,78,15.61
152,Avera,US,2022-07-18 00:11:26,33.194,-82.5271,87.85,62,40,7.4
153,Lebedinyy,RU,2022-07-18 00:11:26,58.5167,125.5167,72.95,69,12,4.72
154,Umm Lajj,SA,2022-07-18 00:11:27,25.0213,37.2685,83.7,59,77,6.06
155,Rawson,AR,2022-07-18 00:11:27,-43.3002,-65.1023,46.62,53,22,19.46
156,Aklavik,CA,2022-07-18 00:11:28,68.2191,-135.0107,73.65,38,97,11.77
157,Sur,OM,2022-07-18 00:11:28,22.5667,59.5289,82.56,84,100,4.52
158,Nikolskoye,RU,2022-07-18 00:10:37,59.7035,30.7861,53.49,97,99,5.41
